John_Turner@subram.com,2018-05-17 05:01:46,John,Turner,Wide-Hands Push-Up,30,2,15
Natalie_Abraham@ozbytes.net.au,2018-05-19 13:14:04,Natalie,Abraham,Decline Dumbbell Triceps Extension,30,2,15
Olivia_Howard@mail2algeria.com,2018-05-29 05:27:52,Olivia,Howard,One-Arm High-Pulley Cable Side Bends,30,2,15
Victor_Powell@hawaiiantel.net,2018-05-13 15:13:45,Victor,Powell,Wide-Stance Leg Press,30,2,12
Anna_Ince@mail2missouri.com,2018-05-29 07:37:13,Anna,Ince,Slide Jump Shot,30,3,15
William_Davies@mailasia.com,2018-05-27 23:12:16,William,Davies,Hanging Bar Good Morning,15,3,12
Anne_Hunter@mail2ellen.com,2018-05-28 18:47:20,Anne,Hunter,One-Arm Kettlebell Clean,30,3,10
Amy_King@bluemail.ch,2018-05-26 23:28:59,Amy,King,Side To Side Chins,15,3,12
Piers_Ball@hey.to,2018-05-22 07:44:26,Piers,Ball,Side to Side Box Shuffle,15,3,12
Evan_MacDonald@mail2nelson.com,2018-05-06 16:14:05,Evan,MacDonald,Dumbbell Clean,30,2,12
Amanda_Walsh@crosshairs.com,2018-05-05 07:41:16,Amanda,Walsh,Kettlebell Pistol Squat,15,3,15
Grace_Robertson@mail.byte.it,2018-05-22 00:37:22,Grace,Robertson,Tuck Crunch,15,2,12
Audrey_James@medical.net.au,2018-05-10 19:40:09,Audrey,James,The Straddle,15,2,15
Robert_Cameron@mail2namibia.com,2018-05-13 09:36:34,Robert,Cameron,Skating,15,2,10
Emily_Underwood@cyberbabies.com,2018-05-06 02:54:18,Emily,Underwood,Partner Facing Plank With Band Row,30,3,10
Karen_Hart@linuxfreemail.com,2018-05-09 09:43:30,Karen,Hart,Standing Barbell Calf Raise,15,3,10
Violet_Underwood@mail2hawaii.com,2018-05-27 18:58:57,Violet,Underwood,Calf Raise On A Dumbbell,30,2,15
Warren_Blake@terra.es,2018-05-30 23:10:11,Warren,Blake,Dumbbell One-Arm Upright Row,15,2,12
Audrey_Mackay@mailasia.com,2018-05-10 09:54:08,Audrey,Mackay,Floor Press with Chains,15,3,15
Kevin_Butler@mail2student.com,2018-05-12 12:01:32,Kevin,Butler,Bodyweight Flyes,15,2,12
Stewart_Anderson@mail2joe.com,2018-05-09 19:23:03,Stewart,Anderson,Rope Jumping,15,2,15
Amanda_Paterson@the-stock-market.com,2018-05-09 06:40:51,Amanda,Paterson,Side Lunge Touching Heel,30,3,12
Piers_Glover@heartthrob.com,2018-05-10 17:59:14,Piers,Glover,Seated Glute,15,2,15
Evan_Ogden@mail2ship.com,2018-05-20 22:37:15,Evan,Ogden,Partner Facing Planks With Alternating High-Five,30,2,12
Sonia_Mitchell@mail2musician.com,2018-05-19 15:42:56,Sonia,Mitchell,Side to Side Box Shuffle,15,2,12
Wanda_Clark@mail2pennsylvania.com,2018-05-21 01:52:03,Wanda,Clark,Rocket Jump,30,2,15
Anthony_Alsop@teleline.es,2018-05-10 08:54:19,Anthony,Alsop,Weighted Crunches,30,2,15
Spike_Langdon@mail2pisces.com,2018-05-26 00:50:19,Spike,Langdon,Split Clean,15,2,12
Boris_Bailey@eresmas.com,2018-05-19 05:59:17,Boris,Bailey,Partner Side-To-Side Russian Twist & Pass,30,3,10
Justin_Walker@friendsfan.com,2018-05-11 23:14:43,Justin,Walker,Chin-Up,15,2,15
Joan_Walker@herediano.com,2018-05-14 18:07:58,Joan,Walker,Stride Jump Crossover,15,3,10
Jake_Mackay@tiscali.at,2018-05-25 15:02:42,Jake,Mackay,Typewriter Push-Up,15,2,15
William_Gibson@zahadum.com,2018-05-15 02:25:49,William,Gibson,Suspended Chest Fly,30,3,10
Oliver_Black@mail2frank.com,2018-05-17 13:42:50,Oliver,Black,Rack Pulls,15,3,10
Sophie_Walker@bol.com.br,2018-05-21 05:02:42,Sophie,Walker,Kneeling Jump Squat,15,3,12
Anne_Gill@mail2hot.com,2018-05-20 01:58:16,Anne,Gill,Cable Rope Rear-Delt Rows,15,2,12
Penelope_Carr@mail2batter.com,2018-05-27 09:16:08,Penelope,Carr,Parallel Bar Dip,15,3,12
Una_Mackay@mail2noelle.com,2018-05-16 04:37:19,Una,Mackay,Seated Dumbbell Curl,15,2,12
Ryan_Taylor@yyhmail.com,2018-05-10 09:28:58,Ryan,Taylor,Alternating Kettlebell Row,30,3,12
Rachel_Knox@lovelygirl.net,2018-05-06 07:42:29,Rachel,Knox,Front Incline Dumbbell Raise,30,2,12
Adam_Metcalfe@joymail.com,2018-05-21 13:00:38,Adam,Metcalfe,Weighted Sit-Ups - With Bands,15,3,15
Max_Marshall@mail2mambo.com,2018-05-09 21:06:11,Max,Marshall,Standing Military Press,15,2,10
Evan_Skinner@mail2care.com,2018-05-25 20:00:02,Evan,Skinner,Clean,15,3,15
Andrew_Grant@stribmail.com,2018-05-11 22:08:56,Andrew,Grant,Feet Jack,30,2,15
Hannah_Gibson@discofan.com,2018-05-06 02:23:49,Hannah,Gibson,Kettlebell Arnold Press,30,3,10
Jake_Johnston@infomart.or.jp,2018-05-10 10:25:36,Jake,Johnston,Depth Jump Leap,15,2,15
Stewart_Dyer@ukmax.com,2018-05-16 19:34:14,Stewart,Dyer,Rope Jumping,30,2,15
Kimberly_Tucker@astrosfan.com,2018-05-28 01:06:06,Kimberly,Tucker,Side Standing Long Jump,15,3,12
Anna_Hardacre@csinibaba.hu,2018-05-15 11:11:37,Anna,Hardacre,Close-Grip Front Lat Pulldown,30,2,10
Chloe_Peters@fwnb.com,2018-05-06 02:37:26,Chloe,Peters,Dumbbell Lying Pronation,15,3,15
Leah_Howard@nemra1.com,2018-05-10 01:17:44,Leah,Howard,JM Press,30,2,12
Stewart_Grant@servemymail.com,2018-05-11 23:32:27,Stewart,Grant,Stiff-Legged Dumbbell Deadlift,30,2,10
Lisa_Oliver@mail2joey.com,2018-05-10 01:44:08,Lisa,Oliver,Linear 3-Part Start Technique,30,2,10
Paige_Black@i-france.com,2018-05-12 13:22:59,Paige,Black,Bodyweight Mid Row,15,2,12
Luke_Hall@vivianhsu.net,2018-05-28 02:16:16,Luke,Hall,One-Arm Dumbbell Row,30,2,15
Anna_Glover@roosh.com,2018-05-09 04:14:03,Anna,Glover,Dumbbell Scaption,15,2,12
Sue_Rees@sesmail.com,2018-05-07 06:10:34,Sue,Rees,Football Up-Down,15,3,10
Rebecca_Clarkson@kmail.com.au,2018-05-12 05:10:45,Rebecca,Clarkson,Romanian Deadlift with Kettlebell,30,3,15
Gavin_Lyman@bullsgame.com,2018-05-16 11:35:44,Gavin,Lyman,Thigh Adductor,15,3,12
Justin_Springer@mailshuttle.com,2018-05-22 20:05:51,Justin,Springer,Standing Low-Pulley One-Arm Triceps Extension,15,3,10
Donna_Turner@partynight.at,2018-05-22 20:37:17,Donna,Turner,Bench Press With Short Bands,30,2,10
Owen_Mills@glay.org,2018-05-27 22:50:25,Owen,Mills,Romanian Deadlift,15,2,12
Amelia_Chapman@moldova.com,2018-05-06 09:30:10,Amelia,Chapman,Kettlebell Fire Feet,15,3,15
Bella_Barrett@from-japan.net,2018-05-14 01:35:33,Bella,Barrett,Knee To Chest,15,3,15
Natalie_Howard@manager.de,2018-05-20 06:06:26,Natalie,Howard,Single Dumbbell Raise,15,3,15
Sarah_Alsop@mailpost.zzn.com,2018-05-08 15:51:59,Sarah,Alsop,Cable Seated Crunch,15,3,12
Jonathan_Baker@surf3.net,2018-05-30 02:17:32,Jonathan,Baker,Cable Iron Cross,15,3,12
Donna_Parsons@mail2bernard.com,2018-05-13 01:01:24,Donna,Parsons,Barbell Deadlift,30,3,10
Richard_MacLeod@mail2libya.com,2018-05-25 00:00:30,Richard,MacLeod,Crucifix,15,2,12
Rebecca_Morris@hempseed.com,2018-05-08 21:36:31,Rebecca,Morris,Lateral Raise - With Bands,30,3,10
Jessica_Hughes@emails.ru,2018-05-17 11:00:03,Jessica,Hughes,Triceps Pushdown,30,2,15
Max_Clarkson@mail2romania.com,2018-05-28 04:13:42,Max,Clarkson,Cable Russian Twists,15,3,15
Boris_Clarkson@i12.com,2018-05-28 18:08:25,Boris,Clarkson,Bench Sprint,30,2,12
Jessica_Turner@mail2ricky.com,2018-05-24 14:29:21,Jessica,Turner,Shoulder Raise,15,2,10
Joseph_Hemmings@uk8.net,2018-05-22 15:18:47,Joseph,Hemmings,Full Range-Of-Motion Lat Pulldown,30,2,15
Lucas_Poole@mail2bosnia.com,2018-05-15 01:31:38,Lucas,Poole,Stairmaster,15,3,12
Blake_Vance@fromarizona.com,2018-05-07 11:53:05,Blake,Vance,Suspended Crunch,15,3,12
Abigail_Arnold@popsmail.com,2018-05-08 04:38:31,Abigail,Arnold,Smith Machine Upright Row,15,2,15
Trevor_Hemmings@mail2secretagent.com,2018-05-27 02:40:06,Trevor,Hemmings,Thigh Abductor,15,2,10
